Dates,Overall Gross,# Releases,Release Month
Dec 27-29,159403178,90,Dec
Dec 20-22,139944015,61,Dec
Dec 13-15,87557182,71,Dec
Dec 6-8,129558686,68,Dec
Nov 29-Dec 1,274782835,53,Nov
Nov 28-Dec 1,331313484,36,Nov
Nov 27-Dec 1,421199078,39,Nov
Nov 22-24,199698142,54,Nov
Nov 15-17,65924511,66,Nov
Nov 8-10,62096528,67,Nov
Nov 1-3,63211547,73,Nov
Oct 25-27,89097223,68,Oct
Oct 18-20,60750112,72,Oct
Oct 11-13,65310508,64,Oct
Oct 11-14,76691023,53,Oct
Oct 4-6,82199808,67,Oct
Sep 27-29,84351917,72,Sep
Sep 20-22,74680626,68,Sep
Sep 13-15,86099341,65,Sep
Sep 6-8,141147925,63,Sep
Aug 30-Sep 1,67834084,70,Aug
Aug 30-Sep 2,87597444,58,Aug
Aug 23-25,82360540,59,Aug
Aug 16-18,133867955,68,Aug
Aug 9-11,154916671,61,Aug
Aug 2-4,166647076,57,Aug
Jul 26-28,283134352,63,Jul
Jul 19-21,145451308,59,Jul
Jul 12-14,117832573,60,Jul
Jul 5-7,151658717,59,Jul
Jun 28-30,147007715,67,Jun
Jun 21-23,148254918,71,Jun
Jun 14-16,211060110,58,Jun
Jun 7-9,99767088,56,Jun
May 31-Jun 2,60289666,59,May
May 24-26,97780501,56,May
May 24-27,126848103,54,May
May 17-19,91192848,63,May
May 10-12,91335805,72,May
May 3-5,68351601,71,May
Apr 26-28,56431872,65,Apr
Apr 19-21,60997717,75,Apr
Apr 12-14,68334834,76,Apr
Apr 5-7,81139811,80,Apr
Mar 29-31,129945064,79,Mar
Mar 29-Apr 1,144556947,46,Mar
Mar 22-24,98378983,72,Mar
Mar 15-17,83390150,72,Mar
Mar 8-10,131087594,70,Mar
Mar 1-3,108910449,64,Mar
Feb 23-25,51332370,72,Feb
Feb 16-19,82733326,51,Feb
Feb 16-18,69396505,64,Feb
Feb 9-11,29104430,76,Feb
Feb 2-4,51381346,69,Feb
Jan 26-28,41718631,72,Jan
Jan 19-21,52031949,64,Jan
Jan 12-14,85320537,62,Jan
Jan 12-15,102444462,52,Jan
Jan 5-7,75396375,60,Jan
